tinggi,berat,deskripsi
158.1143317,58.36424018,Normal
160.344026,52.56015497,Normal
161.4860797,61.93485173,Normal
182.4592967,69.04210773,Slim
184.4625838,71.34107571,Slim
150.429599,74.85335386,Fat
158.5481124,56.25574203,Normal
147.1070416,81.66756544,Obese
155.7931887,57.56721949,Normal
150.9669207,87.12007797,Obese
184.1453763,68.70595915,Slim
178.5300019,68.44529093,Slim
161.5562143,51.6921421,Normal
145.7684577,72.57005706,Fat
148.9447606,87.29778923,Obese
181.2044417,64.99805215,Slim
148.9722214,82.3666841,Obese
139.4058005,68.55499695,Fat
151.419733,85.00214089,Obese
154.7750087,83.25018127,Obese
177.6752182,72.20886496,Slim
157.0595243,53.05457539,Normal
152.9371034,54.49765411,Normal
154.301518,62.56945724,Normal
145.2384517,74.13461584,Fat
187.5947984,73.72930555,Slim
154.3123578,87.31350988,Obese
179.0331884,69.21772881,Slim
148.4045836,86.834504,Obese
182.4285992,66.32961222,Slim
159.5588015,54.13783346,Normal
178.3467631,72.22656248,Slim
148.4751512,78.36319052,Fat
145.9186206,72.65190001,Fat
180.5137559,71.66281424,Slim
151.7361403,91.00953053,Obese
188.2694102,78.43838949,Slim
142.3810224,71.35173883,Fat
143.8851778,68.71827449,Fat
149.1336463,89.10646445,Obese
143.7536814,82.19479589,Obese
155.3066674,62.45428069,Normal
152.7761098,74.95739725,Fat
154.6664791,73.5980943,Fat
160.9824429,53.91944908,Normal
182.2215875,66.46531504,Slim
152.388668,58.07587101,Normal
147.4545971,85.38686479,Obese
178.2111389,66.74770552,Slim
182.1699,72.82657536,Slim
148.7843333,83.25402418,Obese
178.0402603,76.67484411,Slim
156.5974455,55.89869327,Normal
181.8764219,68.53837656,Slim
183.4541149,68.12346244,Slim
183.7354928,72.59825411,Slim
154.927198,82.18273138,Obese
152.1310996,79.85777335,Obese
149.6031031,87.76208927,Obese
145.4098776,83.32781741,Obese
144.1886699,82.99791816,Obese
183.9049816,68.05157713,Slim
155.8140776,95.43918117,Obese
184.2284396,75.99236794,Slim
185.4369771,66.62832983,Slim
179.2419645,68.74445724,Slim
180.1717906,71.04131978,Slim
150.5669824,85.98049095,Obese
183.6579853,73.54922687,Slim
152.2536809,83.62503296,Obese
180.465302,69.70656158,Slim
152.9901717,87.11468183,Obese
160.5842238,65.18400103,Normal
145.4221366,69.08727293,Fat
144.8982592,83.03390126,Obese
161.5659426,64.04943972,Normal
144.9097364,77.41130471,Obese
143.8559898,74.67917017,Fat
181.6164542,68.46091273,Slim
153.5103637,91.13515903,Obese
144.3072143,73.44545316,Fat
181.3656773,65.98379693,Slim
185.0635457,70.77880099,Slim
149.6544868,87.73990894,Obese
184.1241425,69.83555232,Slim
150.1588172,87.39583781,Obese
148.0830386,86.74556978,Obese
156.0681457,56.27947646,Normal
182.741017,64.72430395,Slim
149.7891606,83.91269799,Obese
179.4220993,70.92926589,Slim
150.7237727,67.49482779,Fat
151.8726737,88.04217454,Obese
148.6053609,85.89602338,Obese
185.7740542,69.59911793,Slim
157.8850793,57.08743856,Normal
153.4345809,84.89474605,Obese
179.1144798,65.90381908,Slim
149.7314815,92.29022979,Obese
142.2920413,72.76433638,Fat
154.785023,55.02235378,Normal
151.852968,56.20978875,Normal
148.6899134,72.3125993,Fat
142.6048439,80.19693006,Obese
150.5160648,88.43005167,Obese
144.0803629,77.81853626,Fat
152.48319,87.42721481,Obese
152.8379395,78.682678,Obese
183.3147839,61.20170854,Slim
147.9731026,89.69950658,Obese
188.6546187,71.37195396,Slim
148.0804135,87.35280568,Obese
180.4589708,65.79353206,Slim
183.4023738,68.43795108,Slim
179.899596,70.7570059,Slim
144.9561424,74.38530697,Fat
148.2450981,77.50695004,Fat
181.8023549,69.48057515,Slim
182.517464,73.72769988,Slim
147.4991973,83.05716059,Obese
182.8210941,69.83972116,Slim
154.8910222,63.08260091,Normal
152.2001216,84.74137926,Obese
144.7208515,75.11858076,Fat
155.5609291,59.465191,Normal
188.9310168,73.24693313,Slim
182.7555335,72.42570341,Slim
146.337233,69.67302718,Fat
176.3664477,73.30567137,Slim
185.5729039,76.66538272,Slim
148.9122884,75.28680018,Fat
182.353065,68.45504268,Slim
143.3293831,73.39180545,Fat
161.0416068,62.15282797,Normal
153.542994,55.82418643,Normal
158.0709922,50.33085109,Normal
177.0557721,68.52516357,Slim
181.5174121,69.48058228,Slim
153.1179899,78.92091848,Obese
144.2282982,84.07714815,Obese
146.5309628,79.31868253,Obese
146.1438807,90.849772,Obese
186.9651421,65.82148495,Slim
186.8951442,72.06489506,Slim
152.870122,57.74481651,Normal
178.199423,63.79411064,Slim
182.4936553,67.7822734,Slim
151.6625071,54.3467623,Normal
156.60695,58.46835611,Normal
147.7611674,82.9237214,Obese
177.9209189,73.34364926,Slim
153.7459319,74.00979341,Fat
144.6741236,67.72620038,Fat
152.5193864,61.93137038,Normal
150.3743558,90.11253404,Obese
158.4949549,58.92234721,Normal
177.4465359,66.18019606,Slim
178.9993606,64.88858532,Slim
154.8106683,57.25959485,Normal
154.6472459,57.52682793,Normal
162.585528,57.80730917,Normal
159.6766819,54.19827946,Normal
145.7619982,70.07522451,Fat
153.6432845,56.94978281,Normal
175.2733141,63.62830583,Slim
145.6938239,73.96245603,Fat
163.343516,53.73087814,Normal
146.6764752,76.28119276,Fat
